x, y, z
-799.999999999844, -100.000000000679, -200.000000000046
-800.000000000016, -99.999999999733, -149.999999999894
-799.999999999331, -100.000000005962, -99.999999999944
-800.000000000044, -50.000000000088, -649.99999999983
-799.999999999909, -50.000000000161, -600.000000000264
-800.000000000008, -50.000000000035, -549.999999999828
-799.999999999938, -50.000000000089, -500.000000000139
-799.999999999964, -50.000000000081, -449.999999999912
-799.999999999992, -49.999999999967, -399.999999999981
-800.00000000013, -49.999999999591, -349.999999999758
-799.999999999875, -50.000000000488, -300.000000000197
-800.000000000092, -49.999999999545, -249.999999999765
-800.000000000148, -49.999999999503, -199.999999999972
-800.000000000071, -49.999999999355, -149.999999999872
-799.999999999624, -50.000000006309, -100.000000000416
-799.999999999991, -4.7e-11, -650.000000000055
-799.999999999864, -2.94e-10, -600.000000000297
-800.000000000106, 2.83e-10, -549.999999999981
-799.999999999938, -2.44e-10, -500.000000000032
-800.000000000111, 3.19e-10, -449.9999999998
-799.999999999946, -1.8e-10, -400.00000000003
-799.999999999966, -2.07e-10, -350.000000000056
-799.999999999936, -6.6e-11, -299.999999999945
-800.000000000121, 4.58e-10, -249.999999999952
-800.000000000077, 2.78e-10, -199.999999999924
-800.000000000004, 1.72e-10, -149.999999999914
-800.000000000058, 3.71e-09, -99.999999999802
-799.999999999881, 49.999999999757, -650.000000000328
-800.000000000071, 50.000000000172, -599.999999999886
-799.999999999938, 49.999999999758, -550.000000000047
-800.000000000001, 49.999999999981, -499.999999999982
-800.000000000095, 50.0000000001, -449.999999999877
-800.000000000118, 50.000000000318, -399.999999999645
-800.000000000023, 50.000000000115, -350.000000000115
-800.000000000002, 50.000000000117, -299.999999999998
-799.999999999958, 49.999999999929, -249.999999999957
-799.999999999942, 49.99999999976, -200.000000000018
-800.000000000005, 50.000000000472, -149.999999999688
-799.999999999951, 50.000000001848, -99.999999999934
-800.000000000007, 100.000000000151, -649.999999999931
-800.000000000033, 100.00000000019, -599.999999999978
-800.000000000013, 100.000000000197, -550.000000000002
-800.000000000112, 100.000000000337, -499.999999999796
-799.999999999883, 99.999999999736, -450.000000000269
-800.000000000032, 100.000000000187, -399.999999999883
-800.0, 100.000000000112, -350.000000000107
-800.000000000024, 100.000000000137, -299.999999999895
-800.000000000067, 100.000000000181, -250.000000000014
-799.999999999913, 99.999999999782, -200.000000000099
-800.000000016473, 100.000000000078, -150.000000002183
-800.00000000003, 150.000000000155, -650.000000000025
-800.000000000005, 150.000000000024, -599.99999999994
-799.999999999981, 150.000000000067, -550.000000000048
-800.000000000075, 150.000000000257, -499.999999999759
-799.999999999965, 150.000000000146, -450.000000000083
-800.000000000093, 150.000000000188, -399.999999999907
-800.000000000055, 150.000000000129, -350.000000000014
-800.000000000073, 150.000000000112, -300.000000000025
-800.000000000024, 149.999999999942, -249.999999999891
-800.000000000026, 150.000000000076, -199.999999999876
-800.000000000046, 150.000000000089, -149.999999999803
-800.000000000063, 150.000000000184, -99.999999999872
-800.000000000012, 199.999999999786, -649.999999999991
-799.999999999948, 199.999999999903, -600.000000000169
-799.999999999834, 199.999999999775, -550.00000000041
-799.999999999977, 200.000000000109, -499.999999999993
-800.000000000092, 200.000000000068, -449.999999999714
-799.999999999906, 199.999999999918, -400.00000000027
-800.000000000085, 200.000000000206, -349.999999999837
-799.99999999994, 199.999999999767, -300.000000000131
-800.000000000034, 200.00000000011, -249.999999999949
-799.999999999917, 199.999999999867, -200.000000000168
-800.000000000049, 200.00000000012, -150.000000000029
-799.999999999991, 199.999999999974, -100.000000000019
-799.999999999955, 249.999999999901, -650.000000000157
-799.999999999856, 249.999999999765, -600.000000000301
-800.000000000029, 250.000000000109, -549.999999999993
-800.000000000128, 250.000000000049, -499.999999999764
-799.999999999928, 250.000000000016, -450.000000000168
-799.999999999956, 250.000000000054, -400.000000000148
-800.000000000042, 250.000000000063, -349.999999999953
-800.00000000004, 250.000000000169, -299.99999999996
-800.000000000023, 249.999999999918, -249.999999999992
-799.999999999964, 249.99999999986, -199.999999999996
-799.999999999908, 250.000000000029, -150.000000000238
-799.999999999934, 249.999999999883, -100.000000000163
-799.999999999858, 299.999999999468, -650.000000000558
-800.000000000163, 300.000000000269, -599.999999999545
-800.000000000086, 300.000000000266, -549.999999999681
-799.999999999983, 299.999999999858, -500.000000000055
-800.000000000065, 300.000000000056, -449.999999999734
-800.000000000078, 300.000000000194, -399.999999999844
-800.000000000107, 300.00000000007, -349.999999999719
-800.000000000101, 300.000000000106, -299.999999999773
-800.000000000079, 300.000000000124, -249.999999999804
-800.000000000058, 300.000000000094, -199.999999999932
-799.999999999914, 300.000000000028, -150.000000000223
-799.999999999937, 300.000000000021, -100.000000000137
-800.000000000001, 349.999999999889, -600.000000000086
-800.00000000004, 349.999999999844, -550.000000000008
-799.999999999868, 349.999999999792, -500.000000000422
-799.999999999916, 349.999999999898, -450.000000000244
-799.999999999955, 349.999999999933, -400.000000000281
-800.000000000014, 350.000000000171, -349.999999999929
-799.999999999912, 349.999999999987, -300.000000000128
-799.999999999998, 350.000000000114, -249.999999999968
-800.00000000001, 350.000000000149, -199.999999999874
-799.999999999998, 349.999999999801, -150.00000000008
-800.000000000075, 350.000000000035, -99.999999999861
-800.00000000013, 400.00000000018, -599.999999999585
-799.99999999992, 399.999999999907, -550.000000000246
-799.999999999914, 399.999999999852, -500.000000000183
-799.999999999896, 399.999999999934, -450.000000000373
-800.000000000053, 399.999999999977, -399.999999999882
-799.999999999937, 399.999999999918, -350.000000000326
-800.000000000043, 400.000000000183, -299.999999999755
-799.999999999953, 400.000000000008, -250.000000000003
-800.000000000014, 400.000000000135, -199.99999999993
-799.999999999966, 399.999999999906, -150.000000000122
-800.000000000058, 399.999999999915, -99.999999999988
-799.999999999973, 450.000000000017, -550.000000000066
-800.000000000062, 450.000000000166, -499.99999999969
-800.000000000099, 450.000000000124, -449.999999999634
-799.999999999934, 450.000000000045, -400.000000000064
-799.99999999997, 449.999999999986, -349.999999999993
-800.000000000016, 450.000000000035, -300.000000000039
-799.999999999967, 450.000000000099, -249.999999999939
-799.999999999983, 450.00000000013, -199.999999999879
-800.000000000014, 450.000000000129, -149.999999999794
-800.000000000024, 449.999999999998, -99.999999999967
-799.999999999953, 499.999999999965, -400.000000000194
-799.999999999959, 500.000000000012, -350.000000000127
